#Digilent WaveForms Oscilloscope XY
#Device Name: Discovery2
#Serial Number: SN:210321AC1D4D
#Date Time: 2020-10-08 17:47:11.377

Channel 1 (V),Channel 2 (V)
0.01766965145789992,0.8971145095681405
0.01732579848444594,0.8933137070645839
-0.006400056683857881,-0.3001382790510749
-0.006400056683890248,-0.3001382790527032
-0.006400056683890248,-0.3039390815562597
-0.006400056683890248,-0.3039390815562614
-0.006400056683890248,-0.3039390815562614
-0.006056203710436104,-0.3039390815562614
-0.005712350736982117,-0.3039390815562614
-0.006056203710435791,-0.3077398840598162
-0.006400056683889778,-0.3077398840598197
-0.006743909657344391,-0.3077398840598197
-0.006743909657344391,-0.3077398840598197
-0.007087762630798221,-0.3115406865633745
-0.007087762630798534,-0.3115406865633779
-0.007087762630798534,-0.3115406865633779
-0.007087762630798534,-0.3153414890669344
-0.007087762630798534,-0.3153414890669362
-0.00674390965734486,-0.3153414890669362
-0.006743909657344391,-0.3153414890669362
-0.006743909657344391,-0.3191422915704926
-0.006743909657344391,-0.3191422915704943
-0.006743909657344391,-0.3191422915704943
-0.006056203710436104,-0.3191422915704943
-0.006400056683890092,-0.3229430940740509
-0.006400056683890248,-0.3229430940740526
-0.006743909657344078,-0.3229430940740526
-0.007087762630798534,-0.3229430940740526
-0.007431615604252676,-0.3229430940740526
-0.007431615604252676,-0.3267438965776091
-0.007431615604252676,-0.3267438965776108
-0.007431615604252676,-0.3267438965776108
-0.007087762630798534,-0.3305446990811691
-0.007087762630798534,-0.3305446990811691
-0.007087762630798534,-0.3305446990811691
-0.007087762630798534,-0.3305446990811691
-0.007087762630798534,-0.3305446990811691
-0.007087762630798534,-0.3343455015847255
-0.006743909657344704,-0.3343455015847273
-0.006400056683890717,-0.3381463040882803
-0.006743909657344391,-0.3381463040882855
-0.007087762630798378,-0.3381463040882855
-0.007087762630798534,-0.3381463040882855
-0.007431615604252207,-0.3381463040882855
-0.00777546857770682,-0.3419471065918437
-0.00777546857770682,-0.3419471065918437
-0.00777546857770682,-0.3419471065918437
-0.00777546857770682,-0.3419471065918437
-0.007431615604252676,-0.3419471065918437
-0.007431615604252676,-0.3457479090954003
-0.007431615604252676,-0.345747909095402
-0.007431615604252676,-0.345747909095402
-0.007431615604252676,-0.345747909095402
-0.007431615604252676,-0.3495487115989585
-0.006743909657344704,-0.3495487115989602
-0.006743909657344391,-0.3495487115989602
-0.007087762630798534,-0.3533495141025184
-0.007431615604252676,-0.3533495141025184
-0.007775468577706664,-0.3533495141025184
-0.00777546857770682,-0.3533495141025184
-0.00777546857770682,-0.3533495141025201
-0.00777546857770682,-0.3571503166060767
-0.00777546857770682,-0.3571503166060767
-0.00777546857770682,-0.3571503166060767
-0.00777546857770682,-0.3571503166060767
-0.00777546857770682,-0.3609511191096349
-0.00777546857770682,-0.3609511191096349
-0.00743161560425299,-0.3609511191096349
-0.007431615604252676,-0.3609511191096349
-0.007431615604252676,-0.3609511191096349
-0.00708776263079869,-0.3647519216131914
-0.007431615604252363,-0.3647519216131931
-0.007431615604252676,-0.3647519216131931
-0.00777546857770682,-0.3647519216131931
-0.008119321551160807,-0.3647519216131931
-0.008119321551160963,-0.3685527241167479
-0.008119321551160963,-0.3685527241167513
-0.008119321551160963,-0.3685527241167513
-0.008119321551160963,-0.3685527241167513
-0.008119321551160963,-0.3723535266203061
-0.007775468577707289,-0.3723535266203096
-0.00777546857770682,-0.3723535266203096
-0.00777546857770682,-0.3723535266203096
-0.00777546857770682,-0.3723535266203096
-0.00777546857770682,-0.3761543291238643
-0.007431615604252676,-0.3761543291238678
-0.007431615604252676,-0.3761543291238678
-0.007775468577706664,-0.3761543291238678
-0.008119321551160651,-0.3761543291238678
-0.008119321551160963,-0.379955131627426
-0.008463174524615105,-0.379955131627426
-0.008463174524615105,-0.379955131627426
-0.008463174524615105,-0.379955131627426
-0.008463174524615105,-0.379955131627426
-0.008119321551160963,-0.3837559341309842
-0.008119321551160963,-0.3837559341309842
-0.008119321551160963,-0.387556736634539
-0.008119321551160963,-0.3875567366345425
-0.008119321551160963,-0.3875567366345425
-0.008119321551160963,-0.3875567366345425
-0.007775468577707133,-0.3875567366345425
-0.00777546857770682,-0.3913575391380955
-0.00777546857770682,-0.3913575391381007
-0.008119321551160807,-0.3913575391381007
-0.008463174524614793,-0.3913575391381007
-0.008463174524615105,-0.3951583416416538
-0.008807027498069249,-0.3951583416416589
-0.008807027498069249,-0.3951583416416589
-0.008807027498069249,-0.3951583416416589
-0.008807027498069249,-0.398959144145212
-0.008807027498069249,-0.3989591441452172
-0.008463174524615261,-0.3989591441452172
-0.008463174524615105,-0.3989591441452172
-0.008463174524615105,-0.402759946648772
