,time_list,V0_list,V1_list1
0,1600286477.9033613,0.12906736978218242,3.337967517331175
1,1600286477.9151933,0.21243766988393603,4.977354348327548
2,1600286477.9268918,0.15376968092344276,4.0096607328088565
3,1600286477.940855,0.009329778278017793,0.30206597844900407
4,1600286477.9578447,-0.1687327145319004,-4.24799145295065
5,1600286477.974798,-0.16941888984137984,-4.39978652989476
6,1600286477.9935405,0.02442563508656577,0.5373483477123724
7,1600286478.008334,0.15720055747084002,4.290481625155457
8,1600286478.0234945,0.16612083649407292,4.563712763654852
9,1600286478.0443854,-0.028066776088612425,-0.7946534524721804
10,1600286478.056986,-0.1649587503297634,-4.0810168683121315
11,1600286478.0680866,-0.18725944788784563,-4.984197576129577
12,1600286478.079433,-0.1316792478200099,-3.507990452848121
13,1600286478.090444,-0.02738060077913297,-0.3961913754938955
14,1600286478.1031792,0.12975354509166187,3.262069978859121
15,1600286478.1148312,0.19734181307538803,4.950790209862329
16,1600286478.1260955,0.1596021710540181,4.157660932829362
17,1600286478.1373081,0.03368900176453839,1.3608366401341612
18,1600286478.1482985,-0.07712831071639335,-2.001424314177844
19,1600286478.1599116,-0.16838962687716066,-4.5971201299221
20,1600286478.1733994,-0.18931797381628399,-4.593325252998497
21,1600286478.1871147,-0.07472669713321527,-1.4701415448734636
22,1600286478.1981144,0.08137818577336041,1.9186835479037603
23,1600286478.2094548,0.1774427291004839,4.487815225182798
24,1600286478.2211368,0.17298258958886745,4.844533656001453
25,1600286478.2323813,0.1287242821274427,2.7801206095615765
26,1600286478.2439117,-0.018117234101160347,-0.6390634986044691
27,1600286478.2548747,-0.14849054290225652,-3.644606022097819
28,1600286478.266592,-0.17868225651935246,-5.010761714594795
29,1600286478.2778025,-0.14711819228329762,-3.88368326828479
30,1600286478.2889118,-0.048652035372996026,-0.9009100063330564
31,1600286478.3028867,0.1276950191632235,3.1747878096162587
32,1600286478.3140235,0.1942540241827305,4.912841440626302
33,1600286478.3259957,0.16612083649407292,4.180430194370978
34,1600286478.3370068,0.031973563490839754,1.4101700401409967
35,1600286478.3499312,-0.07541287244269472,-2.47198905270458
36,1600286478.3618982,-0.185544009614147,-4.767889591484222
37,1600286478.3731682,-0.18863179850680453,-4.627479145310922
38,1600286478.3862717,-0.067521856383681,-1.731988052602051
39,1600286478.3980992,0.08172127342810014,1.9035040402093495
40,1600286478.4100676,0.1774427291004839,4.53335374826603
41,1600286478.420144,0.1853337451594976,4.878687548313878
42,1600286478.4312618,0.12357796730634679,3.0723261326789855
43,1600286478.4421158,-0.00405064025683155,-0.096396098529281
44,1600286478.453278,-0.13236542312948935,-3.3030670989735746
45,1600286478.4643269,-0.18382857134044836,-4.953838560740755
46,1600286478.476164,-0.16084169847288668,-4.145529776013378
47,1600286478.48813,-0.05619996377727002,-1.1589616371380411
48,1600286478.4992425,0.1043650586409221,2.2602224710280043
49,1600286478.5110943,0.18361830688579897,4.681353948286537
50,1600286478.5222442,0.16509157352985374,4.707918086751755
51,1600286478.5350895,0.07554569564278506,1.9983759632994174
52,1600286478.548034,-0.07026655762159881,-1.9293216526293921
53,1600286478.5600026,-0.16804653922242094,-4.5667611145332785
54,1600286478.571111,-0.1934350256731607,-4.839992253032674
55,1600286478.5820806,-0.09771357000077695,-2.8818357604536735
56,1600286478.5939124,0.03163047583610003,0.6436049015732483
57,1600286478.6054451,0.12666575619900433,3.7554039789274745
58,1600286478.6196387,0.18807844639741542,4.928020948320713
59,1600286478.6314642,0.12151944137790843,3.007813224977739
60,1600286478.6426406,-0.014343269899023355,-0.29752457548022493
61,1600286478.6537492,-0.14300114042642087,-3.405528775910848
62,1600286478.6657164,-0.1728497663887771,-4.984197576129577
63,1600286478.6767135,-0.15878317254444832,-4.054452729846911
64,1600286478.6887674,-0.04899512302773575,-0.9616280371106999
65,1600286478.702851,0.11568695124733308,3.1899673173106695
66,1600286478.7148185,0.1980279883848675,4.954585086785932
67,1600286478.7267876,0.16268995994667565,4.055199255892089
68,1600286478.7379043,0.034032089419278114,1.2090415631900528
69,1600286478.749725,-0.07438360947847554,-2.3809120065381153
70,1600286478.761744,-0.17868225651935246,-4.7640947145606205
71,1600286478.773661,-0.1738790293529963,-4.555376483762471
72,1600286478.7857385,-0.06786494403842072,-1.8610138680045432
73,1600286478.7967422,0.07177173144064805,1.5316061016962834
74,1600286478.8076005,0.15891599574453866,4.1652506866765675
75,1600286478.8196707,0.20180195258700448,4.9052516867790965
76,1600286478.8315067,0.12014709075894953,3.0154029788249446
77,1600286478.842514,-0.012970919280064448,-0.21783216008456785
78,1600286478.8535824,-0.122758968796777,-3.378964637445629
79,1600286478.8645525,-0.18108387010253055,-4.957633437664358
80,1600286478.8754194,-0.16804653922242094,-4.282145345263075
81,1600286478.8864923,-0.05517070081305084,-1.621936621817572
82,1600286478.8977141,0.07931965984492205,1.7858628555776654
83,1600286478.909537,0.176070378481525,4.468840840564784
84,1600286478.9207373,0.17058097600568936,4.836943902154248
85,1600286478.9318993,0.12014709075894953,2.93950544035289
86,1600286478.943722,-0.02120502299381789,-0.6238839909100583
87,1600286478.954925,-0.15226450710439351,-3.720503560569873
88,1600286478.9738321,-0.18177004541201,-4.54019697606806
89,1600286478.986994,-0.04796586006351657,-1.5232698218039014
90,1600286478.9969966,0.07005629316694942,1.6340677786335567
91,1600286479.00798,0.1657777488393332,4.244943102072225
92,1600286479.0191019,0.20317430320596339,4.950790209862329
93,1600286479.0297523,0.13558603522223722,3.410070178879627
94,1600286479.041608,-0.003364464947352097,0.047809224567622155
