#Digilent WaveForms Scope FFT
#Device Name: Discovery2
#Serial Number: SN:210321AC1D4D
#Date Time: 2020-12-07 16:08:38.547

Frequency (Hz),Channel 1 (dBV),Channel 2 (dBV)
0.214,-39.59622402472093,-77.09062315101708
0.216,-39.1863814363799,-76.17190282706582
0.218,-36.27326516421877,-76.81645089992544
0.22,-37.45168999628952,-77.43740715231004
0.222,-40.56188683345834,-78.46906524482269
0.224,-43.85278603277456,-80.42598961824909
0.226,-47.50133124761146,-81.52766713177081
0.228,-48.66509501403229,-80.23783449997075
0.23,-47.35817697391841,-77.67233817295103
0.232,-45.43518350567787,-78.07514104285812
0.234,-46.14160469476523,-82.06952457116347
0.236,-47.28283381899467,-86.38384030629821
0.238,-43.81239391736888,-89.5695117433428
0.24,-38.94107154927281,-88.56719468060363
0.242,-36.55302318928486,-82.62737696753541
0.244,-34.7493806355121,-84.3068376425511
0.246,-34.87680232029777,-94.14627343168658
0.248,-36.44051949012115,-95.27962373051444
0.25,-35.06702967622333,-84.54181712935929
0.252,-34.78829268188989,-81.60681348413843
0.254,-34.86460670750396,-84.08873243331121
0.256,-36.96750475957209,-86.33542778968064
0.258,-38.06251171730218,-85.42740212917201
0.26,-38.16347250152118,-86.83195197727152
0.262,-40.24736777467206,-86.34000620714775
0.264,-41.62904339510835,-88.41497771686223
0.266,-44.13517190382195,-89.90164648811147
0.268,-48.8009350565164,-95.87174220507455
0.27,-52.18372172961811,-92.3856039877777
0.272,-58.30994673182413,-87.90182368348502
0.274,-54.57500308460386,-83.03466012510469
0.276,-51.98686094659519,-74.82846620810436
0.278,-45.82101114926708,-71.18805067533708
0.28,-46.33877707793992,-71.31261466884298
0.282,-45.00336859293252,-72.51140233075884
0.284,-40.06929290538895,-75.46137323021651
0.286,-38.99437236682243,-83.13724148339182
0.288,-38.99313165874326,-87.38468188435175
0.29,-42.16267572800987,-81.34417709526745
0.292,-43.30396771324252,-81.39829515973445
0.294,-37.98155551881423,-80.66984979467408
0.296,-37.36007282439913,-78.86708081236391
0.298,-39.82251979900831,-79.80267648607554
0.3,-42.75347562678881,-81.88965687195471
0.302,-47.52729688519237,-83.7335008344722
0.304,-48.47268565921259,-85.57418481478371
0.306,-48.82050187875638,-86.50633295766883
0.308,-51.05144809950282,-86.76604529300471
0.31,-49.29993305393508,-90.14590072551998
0.312,-49.40806547565172,-84.0193540189256
0.314,-50.05295667138098,-79.42341841291272
0.316,-48.19206222065837,-78.16100352305763
0.318,-49.057100013322,-79.68293080449463
0.32,-57.96495775723017,-81.33219520169268
0.322,-55.46049712781308,-82.24626830634178
0.324,-52.85684432117065,-86.18916981044518
0.326,-63.08487537038758,-87.6543461682631
0.328,-50.87827500345561,-86.45069023066503
0.33,-49.59035325989441,-90.60396189322165
0.332,-56.90867362958652,-89.54304264597891
0.334,-47.74256232283911,-84.63275465881566
0.336,-46.92268925868569,-83.77365337260903
0.338,-51.10024538196229,-83.54328957852532
0.34,-47.22265784573253,-83.51824904122861
0.342,-47.55473581501111,-84.59829302616853
0.344,-50.67719609771378,-83.07639626680495
0.346,-52.03585506179428,-82.23727001152537
0.348,-46.68280405594962,-84.5704886147122
0.35,-46.69864001931973,-91.73353520855669
0.352,-52.83706376650428,-98.83391350219908
0.354,-54.86953390848649,-96.52439933716227
0.356,-57.66153175949999,-81.97629215840927
0.358,-56.41972822030308,-76.92752827284041
0.36,-58.96038821246316,-75.2413013655372
0.362,-49.39154068762561,-74.39921011662886
0.364,-47.64596241243042,-75.46450736043724
0.366,-56.00538665247598,-78.77812810823058
0.368,-49.51515821881187,-82.39113269569089
0.37,-53.93017428519087,-91.89696126151561
0.372,-62.69390185310097,-91.48883569481589
0.374,-73.44764109770155,-89.31859433622769
0.376,-53.88928487154943,-97.29206439593065
0.378,-52.07800184086823,-87.88175900924836
0.38,-55.16992971548844,-81.09417089923339
0.382,-53.66724168986568,-78.61286838340567
0.384,-68.05591438578406,-77.96626687583444
0.386,-59.50622451798274,-80.04576797837559
0.388,-62.3368100923681,-84.18403353410091
0.39,-71.97659769844225,-88.83075297022904
0.392,-64.27762913293608,-85.42930195614917
0.394,-55.02634539421378,-79.42563109958613
0.396,-52.43798031168326,-77.53072700347381
0.398,-58.10466530939336,-77.71490426056148
0.4,-61.66280850063237,-80.54351169500694
0.402,-69.68972859618515,-87.92900370058402
0.404,-58.5754857441552,-84.86572303978575
0.406,-61.67932864579647,-80.48822583514207
0.408,-58.76870119857266,-78.10413638123693
0.41,-58.90580718542557,-77.77531195340431
0.412,-52.0503614694234,-80.73394139375065
0.414,-58.32815090755546,-88.53537913120577
0.416,-60.46004716568794,-93.86258543523277
0.418,-65.16506838935322,-84.53839807755995
0.42,-56.92040671534392,-85.00284450772354
0.422,-56.89703009942058,-98.24731234101976
0.424,-58.60691952257483,-87.73265847288994
0.426,-53.90752566570279,-83.35824450783633
0.428,-54.50860372978434,-82.56018295678557
0.43,-58.48795288853239,-83.66945953470082
0.432,-59.73825548387633,-83.91325085242795
0.434,-54.77163651719304,-85.20869388481431
0.436,-51.8089297318463,-80.1471793443703
0.438,-58.70057972789149,-76.25566131401015
0.44,-59.17226057643995,-73.8165347307051
0.442,-56.51092705686902,-73.32420161761289
0.444,-56.35883726105837,-76.85853741823513
0.446,-60.82540754996907,-81.7587114973354
0.448,-59.82916576306367,-83.92640033747142
0.45,-62.85096434075405,-84.4015129102538
0.452,-73.36477385091418,-81.64721110334121
0.454,-61.25900043418237,-80.17270788353342
0.456,-54.66603514485254,-83.40635424401239
0.458,-56.0184979073535,-84.06211186473604
0.46,-57.1722913747115,-82.23236651436872
0.462,-58.87207172234024,-82.37584831767469
