,Power_V_list,Oscillo1_list,Oscillo2_list
0,0.0,-0.024369615664799227,-0.016703683133624025
1,0.05,-0.020594582138072748,-0.012908806210021329
2,0.1,-0.013044515084619845,-0.02429343698082942
3,0.15,-0.0017194145044404086,-0.016703683133624025
4,0.2,0.0020556190222860704,-0.005319052362815824
5,0.25,0.005830652549012549,0.006065578407992267
6,0.3,-0.013044515084619845,-0.028088313904432116
7,0.35000000000000003,-0.024369615664799227,-0.016703683133624025
8,0.4,-0.013044515084619845,-0.020498560057226722
9,0.44999999999999996,-0.028144649191525706,-0.02429343698082942
10,0.5,-0.016819548611346324,-0.005319052362815824
11,0.55,-0.0054944480311668875,-0.0015241754392131268
12,0.6,0.009605686075739028,-0.020498560057226722
13,0.65,-0.009269481557893366,-0.02429343698082942
14,0.7000000000000001,-0.016819548611346324,-0.005319052362815824
15,0.75,-0.013044515084619845,-0.020498560057226722
16,0.8,-0.009269481557893366,-0.020498560057226722
17,0.8500000000000001,-0.009269481557893366,-0.016703683133624025
18,0.8999999999999999,-0.0054944480311668875,-0.012908806210021329
19,0.95,-0.020594582138072748,-0.00911392928641852
20,1.0,0.0020556190222860704,-0.012908806210021329
21,1.05,0.005830652549012549,-0.0015241754392131268
22,1.1,0.005830652549012549,-0.02429343698082942
23,1.1500000000000001,-0.009269481557893366,-0.016703683133624025
24,1.2,-0.013044515084619845,-0.02429343698082942
25,1.25,0.013380719602465507,-0.020498560057226722
26,1.3,0.005830652549012549,-0.016703683133624025
27,1.35,-0.009269481557893366,-0.020498560057226722
28,1.4000000000000001,-0.009269481557893366,-0.028088313904432116
29,1.45,0.009605686075739028,-0.028088313904432116
30,1.5,0.005830652549012549,-0.020498560057226722
31,1.55,0.0020556190222860704,-0.005319052362815824
32,1.6,-0.009269481557893366,-0.00911392928641852
33,1.6500000000000001,0.005830652549012549,-0.03188319082803481
34,1.7000000000000002,0.020930786655918465,-0.03567806775163762
35,1.75,0.017155753129191986,-0.02429343698082942
36,1.7999999999999998,0.02470582018264489,-0.0015241754392131268
37,1.85,0.005830652549012549,-0.005319052362815824
38,1.9,-0.0054944480311668875,-0.00911392928641852
39,1.9500000000000002,0.0020556190222860704,-0.016703683133624025
40,2.0,0.009605686075739028,-0.0015241754392131268
41,2.05,0.017155753129191986,-0.020498560057226722
42,2.1,0.0020556190222860704,-0.012908806210021329
43,2.15,-0.0017194145044404086,-0.005319052362815824
44,2.2,0.013380719602465507,-0.02429343698082942
45,2.25,0.013380719602465507,-0.020498560057226722
46,2.3000000000000003,-0.013044515084619845,-0.005319052362815824
47,2.3499999999999996,-0.0017194145044404086,-0.02429343698082942
48,2.4,0.005830652549012549,-0.005319052362815824
49,2.45,0.017155753129191986,-0.0015241754392131268
50,2.5,0.009605686075739028,-0.00911392928641852
51,2.55,0.013380719602465507,-0.016703683133624025
52,2.6,0.028480853709371368,-0.02429343698082942
53,2.6500000000000004,0.0020556190222860704,-0.005319052362815824
54,2.7,0.013380719602465507,-0.016703683133624025
55,2.75,0.005830652549012549,-0.0015241754392131268
56,2.8000000000000003,0.020930786655918465,-0.012908806210021329
57,2.8499999999999996,0.009605686075739028,-0.016703683133624025
58,2.9,0.02470582018264489,-0.03567806775163762
59,2.9499999999999997,0.017155753129191986,-0.0015241754392131268
60,3.0,0.03225588723609785,-0.0015241754392131268
61,3.05,0.017155753129191986,-0.02429343698082942
62,3.1,-0.0017194145044404086,-0.016703683133624025
63,3.15,0.020930786655918465,-0.020498560057226722
64,3.2,0.020930786655918465,0.00227070148438957
65,3.25,0.020930786655918465,-0.02429343698082942
66,3.3000000000000003,0.005830652549012549,0.00227070148438957
67,3.35,0.013380719602465507,-0.028088313904432116
68,3.4000000000000004,0.02470582018264489,-0.020498560057226722
69,3.4499999999999997,0.020930786655918465,-0.0015241754392131268
70,3.5,0.017155753129191986,-0.03188319082803481
71,3.55,0.028480853709371368,-0.0015241754392131268
72,3.5999999999999996,0.013380719602465507,-0.012908806210021329
73,3.65,0.03225588723609785,-0.016703683133624025
74,3.7,0.028480853709371368,-0.00911392928641852
75,3.75,0.05113105486973024,-0.00911392928641852
76,3.8,0.0020556190222860704,-0.016703683133624025
77,3.85,0.03225588723609785,-0.0015241754392131268
78,3.9000000000000004,0.013380719602465507,-0.020498560057226722
79,3.95,0.017155753129191986,-0.012908806210021329
80,4.0,0.036030920762824326,-0.020498560057226722
81,4.050000000000001,0.02470582018264489,-0.03188319082803481
82,4.1,0.05490608839645672,-0.016703683133624025
83,4.1499999999999995,0.04358098781627728,-0.012908806210021329
84,4.2,0.028480853709371368,-0.028088313904432116
85,4.25,0.036030920762824326,-0.03188319082803481
86,4.3,0.028480853709371368,-0.02429343698082942
87,4.35,0.036030920762824326,-0.016703683133624025
88,4.4,0.02470582018264489,-0.016703683133624025
89,4.45,0.03225588723609785,-0.028088313904432116
90,4.5,0.028480853709371368,-0.02429343698082942
91,4.55,0.005830652549012549,-0.00911392928641852
92,4.6000000000000005,0.039805954289550805,-0.012908806210021329
93,4.65,0.04358098781627728,-0.00911392928641852
94,4.699999999999999,0.039805954289550805,-0.00911392928641852
95,4.75,0.03225588723609785,-0.02429343698082942
96,4.8,0.020930786655918465,-0.0015241754392131268
97,4.85,0.04358098781627728,-0.0015241754392131268
98,4.9,0.05113105486973024,-0.02429343698082942
99,4.95,0.036030920762824326,-0.012908806210021329
100,5.0,0.04358098781627728,-0.0015241754392131268
