,time,V1,V2,sineoutput_freq,sineoutput_amplitude,Resistance,capacitance
0,0.0,0.11135564821286194,-1.3567613750418908,2000,5,220,1e-07
1,5e-07,0.08485828300754145,-1.3529605725383325,2000,5,220,1e-07
2,1e-06,0.05457557991574658,-1.3605621775454488,2000,5,220,1e-07
3,1.5e-06,0.016722201051003013,-1.3643629800490071,2000,5,220,1e-07
4,2e-06,-0.009775164154317489,-1.3643629800490071,2000,5,220,1e-07
5,2.5e-06,-0.04005786724611235,-1.3643629800490071,2000,5,220,1e-07
6,3e-06,-0.06655523245143284,-1.3681637825525654,2000,5,220,1e-07
7,3.5e-06,-0.0968379355432277,-1.3681637825525654,2000,5,220,1e-07
8,4e-06,-0.1233353007485482,-1.3719645850561235,2000,5,220,1e-07
9,4.5e-06,-0.15361800384034308,-1.3719645850561235,2000,5,220,1e-07
10,5e-06,-0.18390070693213792,-1.3719645850561235,2000,5,220,1e-07
11,5.5e-06,-0.21418341002393276,-1.3719645850561235,2000,5,220,1e-07
12,6e-06,-0.2520367888886763,-1.3719645850561235,2000,5,220,1e-07
13,6.5e-06,-0.2747488162075225,-1.3643629800490071,2000,5,220,1e-07
14,7e-06,-0.3088168571857917,-1.3681637825525654,2000,5,220,1e-07
15,7.5e-06,-0.3353142223911122,-1.3681637825525654,2000,5,220,1e-07
16,8e-06,-0.36559692548290706,-1.3681637825525654,2000,5,220,1e-07
17,8.5e-06,-0.3883089528017532,-1.3681637825525654,2000,5,220,1e-07
18,9e-06,-0.4223769937800224,-1.3719645850561235,2000,5,220,1e-07
19,9.5e-06,-0.4526596968718173,-1.3719645850561235,2000,5,220,1e-07
20,1e-05,-0.48294239996361216,-1.3643629800490071,2000,5,220,1e-07
21,1.05e-05,-0.5094397651689326,-1.3643629800490071,2000,5,220,1e-07
22,1.1e-05,-0.5397224682607275,-1.3643629800490071,2000,5,220,1e-07
23,1.15e-05,-0.5700051713525224,-1.3643629800490071,2000,5,220,1e-07
24,1.2e-05,-0.6002878744443172,-1.3643629800490071,2000,5,220,1e-07
25,1.25e-05,-0.6267852396496377,-1.3681637825525654,2000,5,220,1e-07
26,1.3e-05,-0.6494972669684839,-1.3643629800490071,2000,5,220,1e-07
