,time,V1,V2,sineoutput_freq,sineoutput_amplitude,Resistance,Inductance
0,0.0,-0.4526596968718173,0.7032735818866691,2200,5,220,0.1
1,4.545454545454545e-07,-0.47915706207713776,0.7070743843902273,2200,5,220,0.1
2,9.09090909090909e-07,-0.5094397651689326,0.7070743843902273,2200,5,220,0.1
3,1.3636363636363636e-06,-0.5359371303742532,0.7108751868937855,2200,5,220,0.1
4,1.818181818181818e-06,-0.5700051713525224,0.7070743843902273,2200,5,220,0.1
5,2.2727272727272728e-06,-0.6002878744443172,0.7032735818866691,2200,5,220,0.1
6,2.7272727272727272e-06,-0.6305705775361121,0.7070743843902273,2200,5,220,0.1
7,3.1818181818181817e-06,-0.6532826048549583,0.7070743843902273,2200,5,220,0.1
8,3.636363636363636e-06,-0.6835653079467531,0.7032735818866691,2200,5,220,0.1
9,4.090909090909091e-06,-0.7176333489250223,0.6994727793831108,2200,5,220,0.1
10,4.5454545454545455e-06,-0.7517013899032915,0.6956719768795526,2200,5,220,0.1
11,5e-06,-0.7895547687680351,0.6956719768795526,2200,5,220,0.1
12,5.4545454545454545e-06,-0.8236228097463043,0.6956719768795526,2200,5,220,0.1
13,5.909090909090909e-06,-0.8501201749516247,0.6918711743759944,2200,5,220,0.1
14,6.363636363636363e-06,-0.8804028780434197,0.6918711743759944,2200,5,220,0.1
15,6.818181818181818e-06,-0.9106855811352145,0.6918711743759944,2200,5,220,0.1
16,7.272727272727272e-06,-0.9409682842270094,0.6918711743759944,2200,5,220,0.1
17,7.727272727272727e-06,-0.9712509873188042,0.684269569368878,2200,5,220,0.1
18,8.181818181818181e-06,-0.9977483525241247,0.6880703718724361,2200,5,220,0.1
19,8.636363636363637e-06,-1.0242457177294453,0.684269569368878,2200,5,220,0.1
20,9.090909090909091e-06,-1.05452842082124,0.684269569368878,2200,5,220,0.1
21,9.545454545454545e-06,-1.084811123913035,0.6804687668653197,2200,5,220,0.1
22,1e-05,-1.1150938270048298,0.6728671618582033,2200,5,220,0.1
23,1.0454545454545455e-05,-1.1415911922101503,0.6766679643617615,2200,5,220,0.1
24,1.0909090909090909e-05,-1.1718738953019452,0.6728671618582033,2200,5,220,0.1
25,1.1363636363636363e-05,-1.20215659839374,0.6728671618582033,2200,5,220,0.1
26,1.1818181818181819e-05,-1.2286539635990605,0.6728671618582033,2200,5,220,0.1
27,1.2272727272727273e-05,-1.2589366666908555,0.6728671618582033,2200,5,220,0.1
28,1.2727272727272727e-05,-1.2892193697826502,0.6652655568510868,2200,5,220,0.1
