,time,V1,V2,sineoutput_freq,sineoutput_amplitude,Resistance,Inductance
0,0.0,-5.3054628673319435,-5.081547828528954,2200,5,220,0.1
1,4.545454545454545e-07,-5.3054628673319435,-5.0777470260253965,2200,5,220,0.1
2,9.09090909090909e-07,-5.29410685367252,-5.0777470260253965,2200,5,220,0.1
3,1.3636363636363636e-06,-5.286536177899571,-5.073946223521839,2200,5,220,0.1
4,1.818181818181818e-06,-5.278965502126623,-5.073946223521839,2200,5,220,0.1
5,2.2727272727272728e-06,-5.271394826353674,-5.0777470260253965,2200,5,220,0.1
6,2.7272727272727272e-06,-5.2676094884672,-5.073946223521839,2200,5,220,0.1
7,3.1818181818181817e-06,-5.263824150580725,-5.07014542101828,2200,5,220,0.1
8,3.636363636363636e-06,-5.256253474807777,-5.073946223521839,2200,5,220,0.1
9,4.090909090909091e-06,-5.248682799034828,-5.07014542101828,2200,5,220,0.1
10,4.5454545454545455e-06,-5.241112123261879,-5.07014542101828,2200,5,220,0.1
11,5e-06,-5.241112123261879,-5.07014542101828,2200,5,220,0.1
12,5.4545454545454545e-06,-5.233541447488931,-5.07014542101828,2200,5,220,0.1
13,5.909090909090909e-06,-5.222185433829508,-5.066344618514722,2200,5,220,0.1
14,6.363636363636363e-06,-5.222185433829508,-5.066344618514722,2200,5,220,0.1
15,6.818181818181818e-06,-5.214614758056559,-5.066344618514722,2200,5,220,0.1
16,7.272727272727272e-06,-5.210829420170085,-5.062543816011163,2200,5,220,0.1
17,7.727272727272727e-06,-5.20704408228361,-5.066344618514722,2200,5,220,0.1
18,8.181818181818181e-06,-5.20704408228361,-5.054942211004047,2200,5,220,0.1
19,8.636363636363637e-06,-5.199473406510662,-5.054942211004047,2200,5,220,0.1
20,9.090909090909091e-06,-5.199473406510662,-5.054942211004047,2200,5,220,0.1
21,9.545454545454545e-06,-5.188117392851239,-5.0587430135076055,2200,5,220,0.1
22,1e-05,-5.176761379191816,-5.054942211004047,2200,5,220,0.1
23,1.0454545454545455e-05,-5.169190703418867,-5.054942211004047,2200,5,220,0.1
