,time,V1,V2,sineoutput_freq,sineoutput_amplitude
0,0.0,-0.6067673483348242,-0.9971333460706105,1000,1
1,1e-05,-0.6390895278395136,-1.0026625351027092,1000,1
2,2e-05,-0.6686608835565698,-1.0071550011912893,1000,1
3,3e-05,-0.6961691214329013,-1.0113018929653632,1000,1
4,4e-05,-0.721958094441962,-1.0151032104249311,1000,1
5,5e-05,-0.7453400966368438,-1.0178678049409804,1000,1
6,6e-05,-0.767690539911363,-1.021323548086042,1000,1
7,7e-05,-0.7879778653451576,-1.0247792912311038,1000,1
8,8e-05,-0.8068897788851354,-1.0278894600616593,1000,1
9,9e-05,-0.8244262805312967,-1.0306540545777085,1000,1
10,0.0001,-0.8405873702836414,-1.0330730747792518,1000,1
11,0.00011,-0.8560607540890779,-1.0348009463517827,1000,1
12,0.00012,-0.8701587260006978,-1.0372199665533257,1000,1
13,0.00013,-0.8832251389919552,-1.0392934124403628,1000,1
14,0.00014,-0.8952599930628502,-1.0406757096983874,1000,1
15,0.00015,-0.9062632882133828,-1.0424035812709183,1000,1
16,0.00016,-0.9169227303904611,-1.043785878528943,1000,1
17,0.00017,-0.9265506136471772,-1.04585932441598,1000,1
18,0.00018,-0.935490790956985,-1.0472416216740046,1000,1
19,0.00019,-0.9437432623198844,-1.048278344617523,1000,1
20,0.0002,-0.9516518807093296,-1.0496606418755476,1000,1
21,0.00021,-0.9592166461253208,-1.05035179050456,1000,1
22,0.00022,-0.9657498526209495,-1.0513885134480785,1000,1
23,0.00023,-0.9722830591165782,-1.052079662077091,1000,1
24,0.00024,-0.9777847066918445,-1.0534619593351155,1000,1
25,0.00025,-0.9829425012936567,-1.0541531079641278,1000,1
26,0.00026,-0.988444148868923,-1.0551898309076464,1000,1
27,0.00027,-0.9929142375238268,-1.0555354052221524,1000,1
28,0.00028,-0.9973843261787306,-1.0562265538511648,1000,1
29,0.00029,-1.0015105618601803,-1.0569177024801772,1000,1
30,0.0003,-1.00563679754163,-1.002316960788203,1000,1
31,0.00031,-0.9072948471337452,0.7611487661367597,1000,1
32,0.00032,-0.7463716555572062,0.7829199479506482,1000,1
33,0.00033,-0.6036726715737368,0.8057278527080551,1000,1
34,0.00034,-0.47438395355497903,0.8261167372639189,1000,1
35,0.00035,-0.35747394258057036,0.845123324561758,1000,1
36,0.00036,-0.25019181486287767,0.8620564659725601,1000,1
37,0.00037,-0.1518498644549928,0.8776073101253375,1000,1
38,0.00038,-0.06141653243655314,0.8921214313345965,1000,1
39,0.00039,0.02213974011280363,0.9045621066568185,1000,1
40,0.0004,0.09916280616653168,0.9163116333500281,1000,1
41,0.00041,0.17068422464499344,0.9280611600432377,1000,1
42,0.00042,0.23601628960128063,0.9377372408494103,1000,1
43,0.00043,0.29619055995575566,0.9470677473410768,1000,1
44,0.00044,0.35189474165532686,0.955707105203731,1000,1
45,0.00045,0.40278498172654004,0.9636553144373728,1000,1
46,0.00046,0.45058054503666595,0.9709123750420022,1000,1
47,0.00047,0.49390601969188797,0.9778238613321256,1000,1
48,0.00048,0.5341368175860227,0.9836986246787304,1000,1
49,0.00049,0.5712729387190701,0.989227813710829,1000,1
50,0.0005,0.6056582360644844,0.9947570027429277,1000,1
51,0.00051,0.6376365625957198,0.999595043146014,1000,1
52,0.00052,0.667207918312776,1.003741934920088,1000,1
53,0.00053,0.6947161561891075,1.0082344010086681,1000,1
54,0.00054,0.7201612762247142,1.0116901441537298,1000,1
55,0.00055,0.74388713139305,1.0154914616132977,1000,1
56,0.00056,0.765549868720661,1.0189472047583592,1000,1
57,0.00057,0.7854933411810013,1.0220573735889147,1000,1
58,0.00058,0.8047491076944333,1.0248219681049642,1000,1
59,0.00059,0.8222856093405946,1.0272409883065072,1000,1
60,0.0006,0.8387905520663935,1.0293144341935443,1000,1
61,0.00061,0.8535762299249217,1.0317334543950873,1000,1
62,0.00062,0.8673303488630874,1.0338069002821244,1000,1
63,0.00063,0.880740614827799,1.0355347718546553,1000,1
64,0.00064,0.892775468898694,1.0376082177416923,1000,1
65,0.00065,0.9037787640492265,1.038990514999717,1000,1
66,0.00066,0.914438206226305,1.0410639608867538,1000,1
67,0.00067,0.9240660894830209,1.0421006838302724,1000,1
68,0.00068,0.9333501197662828,1.043482981088297,1000,1
69,0.00069,0.9412587381557281,1.0448652783463217,1000,1
70,0.0007,0.9491673565451734,1.0459020012898401,1000,1
71,0.00071,0.9563882689877105,1.0472842985478648,1000,1
72,0.00072,0.9632653284567932,1.0483210214913834,1000,1
73,0.00073,0.9694546819789679,1.0493577444349018,1000,1
74,0.00074,0.9756440355011424,1.0500488930639142,1000,1
75,0.00075,0.9811456830764087,1.0507400416929265,1000,1
76,0.00076,0.9859596247047667,1.051776764636445,1000,1
77,0.00077,0.9904297133596706,1.0524679132654573,1000,1
78,0.00078,0.9948998020145745,1.0531590618944697,1000,1
79,0.00079,0.9990260376960242,1.053504636208976,1000,1
80,0.0008,1.003152273377474,1.0027052119765696,1000,1
81,0.00081,0.9054980289164972,-0.7611060892628995,1000,1
82,0.00082,0.7452625432868666,-0.783222845391294,1000,1
83,0.00083,0.6032512652503055,-0.8067218987777133,1000,1
84,0.00084,0.47465025317845594,-0.8274563576480832,1000,1
85,0.00085,0.35774024220404727,-0.8464629449459223,1000,1
86,0.00086,0.25045811448635463,-0.8633960863567245,1000,1
87,0.00087,0.15246001705192386,-0.879292504824008,1000,1
88,0.00088,0.06202668503348423,-0.8934610517187609,1000,1
89,0.00089,-0.021529587515872545,-0.9069384499845013,1000,1
